Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
yl_020_2	yl_020_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14056454.0	0.0	18-100	54.0	36.06382346963725	99.04006415842858	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_021_1	yl_021_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14043008.0	0.0	18-100	54.0	32.66684738984878	99.15764186704159	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_021_2	yl_021_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14043008.0	0.0	18-100	53.0	33.5829949975994	99.06895260616528	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_022_1	yl_022_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15270096.0	0.0	18-100	54.0	32.41808202564865	99.15354363194574	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_022_2	yl_022_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15270096.0	0.0	18-100	54.0	33.7768572620561	99.06444294783739	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_023_1	yl_023_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12440918.0	0.0	18-100	53.0	33.706059179225825	99.13778034707728	100	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
yl_023_2	yl_023_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12440918.0	0.0	18-100	53.0	35.317278727330944	99.05311730211548	100	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
yl_024_1	yl_024_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9477432.0	0.0	18-100	54.0	39.12126055937167	99.14154488262221	100	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
yl_024_2	yl_024_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9477432.0	0.0	18-100	53.0	41.24460496555439	99.05364259010247	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_025_1	yl_025_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15501992.0	0.0	18-100	55.0	36.71320485967325	99.1731498764804	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_025_2	yl_025_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15501992.0	0.0	18-100	55.0	37.70700760918596	99.03758845959926	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_026_1	yl_026_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15953233.0	0.0	18-100	55.0	34.71412389842342	99.16922406887683	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_026_2	yl_026_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15953233.0	0.0	18-100	55.0	36.59763465550262	99.03146766551959	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_027_1	yl_027_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13202031.0	0.0	18-100	54.0	37.18811186295497	99.16546628318022	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_027_2	yl_027_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13202031.0	0.0	18-100	54.0	38.507892434905344	99.03040812432572	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_028_1	yl_028_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14188599.0	0.0	18-100	55.0	35.339950899921305	99.16340154514198	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_028_2	yl_028_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14188599.0	0.0	18-100	54.0	37.02589858539084	99.02221692219224	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_029_1	yl_029_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13468485.0	0.0	18-100	55.0	36.122759680086986	99.16547035542602	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_029_2	yl_029_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13468485.0	0.0	18-100	54.0	37.5996369738011	99.03381753775574	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_030_1	yl_030_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15523125.0	0.0	18-100	55.0	34.58061932878047	99.16661020252043	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_030_2	yl_030_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15523125.0	0.0	18-100	54.0	36.16291056863073	99.03621751419253	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_031_1	yl_031_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14468716.0	0.0	18-100	54.0	34.53229145387972	99.16560833732585	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_031_2	yl_031_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14468716.0	0.0	18-100	54.0	36.06933447135577	99.04233755089255	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_032_1	yl_032_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12554885.0	0.0	20-100	54.0	35.956751896132324	99.23328122878067	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_032_2	yl_032_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12554885.0	0.0	20-100	55.0	37.35815560676332	99.19464829825203	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_033_1	yl_033_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14306881.0	0.0	20-100	54.0	35.263569883991856	99.21183645827487	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_033_2	yl_033_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14306881.0	0.0	20-100	54.0	36.10146954208371	99.18154599874005	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_034_1	yl_034_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16080443.0	0.0	18-100	54.0	32.644799686539415	99.16005883668753	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_034_2	yl_034_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16080443.0	0.0	18-100	54.0	33.568290152369016	99.0635123671655	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_035_1	yl_035_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10785366.0	0.0	18-100	54.0	35.59543302196069	99.14256929250246	100	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
yl_035_2	yl_035_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10785366.0	0.0	18-100	54.0	38.332659272131956	99.02359307973416	100	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
yl_036_1	yl_036_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14310400.0	0.0	18-100	53.0	30.581717201407983	99.16237393783543	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_036_2	yl_036_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14310400.0	0.0	18-100	53.0	31.80305552833083	99.07573722607334	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_037_1	yl_037_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17055845.0	0.0	18-100	54.0	32.99135709466168	99.16014996618462	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_037_2	yl_037_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17055845.0	0.0	18-100	54.0	35.215363510616314	98.994975153679	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_038_1	yl_038_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17177693.0	0.0	18-100	54.0	32.667190547588675	99.16359420324953	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_038_2	yl_038_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17177693.0	0.0	18-100	54.0	34.6719137131428	99.00496521855409	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_039_1	yl_039_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18301001.0	0.0	18-100	54.0	35.09733512630285	99.1535011664116	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
